# Fallback census ratchet baseline for tools/toolchain/fallback-census.sh --check.
# Corpus: tools/toolchain/fallback-census-roots.txt, run through both emit-c and emit-llvm.
# Policy: total/admitted/canonical/admission_bps may increase;
# fallback/unsupported/specialized admission/plan definitions may decrease.
backend	total_min	admitted_min	fallback_max	unsupported_max	admission_bps_min	canonical_min	specialized_max	specialized_plan_defs_max
c	160	160	0	0	10000	56	104	32
llvm	160	160	0	0	10000	54	106	32
